scenario,clientID,stage,samples,mean_ms,p0_ms,p10_ms,p20_ms,p30_ms,p40_ms,p50_ms,p60_ms,p70_ms,p80_ms,p90_ms,p95_ms,p99_ms,p100_ms
S0,heavy-producer-1,ack_received,54655,9.381,0.339,0.603,0.733,0.953,1.455,2.486,4.828,8.307,14.048,26.170,44.148,76.340,108.005
S0,light-producer-1,ack_received,54642,4.687,0.257,0.498,0.598,0.752,1.054,1.714,2.947,5.078,8.049,12.837,17.711,29.325,69.059
S0,heavy-producer-1,service_gap,54655,1.000,0.012,0.020,0.037,0.210,0.640,0.868,0.984,1.093,1.315,2.055,3.090,6.416,56.655
S0,light-producer-1,service_gap,54642,1.000,0.013,0.025,0.112,0.358,0.693,0.882,0.993,1.106,1.323,2.020,2.906,5.690,55.342
