scenario,clientID,stage,samples,mean_ms,p0_ms,p10_ms,p20_ms,p30_ms,p40_ms,p50_ms,p60_ms,p70_ms,p80_ms,p90_ms,p95_ms,p99_ms,p100_ms
S1,heavy-producer-1,ack_received,102277,1677.923,850.577,1072.801,1178.469,1277.623,1364.700,1464.300,1567.635,1776.793,2089.459,2661.508,3160.655,3794.410,4102.433
S1,light-producer-1,ack_received,54771,10.588,0.313,1.318,2.256,3.449,4.906,6.697,8.749,11.522,15.413,22.954,32.123,65.593,183.914
S1,heavy-producer-1,service_gap,102277,0.553,0.012,0.020,0.022,0.023,0.024,0.026,0.029,0.040,0.082,2.110,3.450,7.636,140.866
S1,light-producer-1,service_gap,54771,1.000,0.012,0.019,0.024,0.041,0.093,0.257,0.638,1.117,1.767,2.727,3.811,7.506,115.791
